id,name,description,price,category,test_min,test_max
286,Эхолот Garmin EchoMAP UHD 73sv,Эхолот с картплоттером и ультрачётким дисплеем.,56900,Аксессуары,,
287,Зарядное устройство для LiFePO4 аккумуляторов 12В,Интеллектуальное ЗУ для современных литиевых батарей.,2790,Аксессуары,,
288,Экстрактор пластиковый 20см,Лёгкий экстрактор для извлечения крючков у некрупной рыбы.,290,Аксессуары,,
289,Грузила джиг-головки набор,Набор джиг-головок разного веса с крючком.,590,Аксессуары,,
290,Поводки стальные 20см (10 шт),Удлинённые поводки для крупной щуки.,360,Аксессуары,,
291,Чехол для удилищ жёсткий 1.5м,Жёсткий тубус для безопасной перевозки спиннингов.,2190,Аксессуары,,
292,Ножницы для лески Fiskars,Острые ножницы с возвратной пружиной.,1490,Аксессуары,,
293,Мультитул Leatherman Wave+,Многофункциональный инструмент премиум-класса.,11900,Инструменты,,
294,Плоскогубцы рыболовные с бокорезами Rapala,Универсальный инструмент для монтажа и резки лески.,1190,Инструменты,,
295,Ножницы для плетенки Gerber Magnum,Мощные ножницы с титановым покрытием.,1590,Инструменты,,
296,Щипцы для снятия крючков Daiwa,Длинные щипцы с изогнутыми губками.,890,Инструменты,,
297,Зажим для лески,Компактный зажим для фиксации лески на шпуле.,220,Инструменты,,
298,Палатка зимняя Tramp Ice,Утеплённая палатка-автомат с быстрой сборкой.,12500,Палатки,,
299,Палатка летняя QuickFish 2,Лёгкая одноместная палатка для карпфишинга.,5490,Палатки,,
300,Спальный мешок Norfin Comfort -10,Тёплый спальник с капюшоном для весны и осени.,4990,Палатки,,
301,Кресло карповое Carp Zoom,Удобное складное кресло с регулируемыми ножками.,3490,Палатки,,
302,Стол складной алюминиевый,Лёгкий стол для приготовления прикормки.,2390,Палатки,,
303,Спиннинг Favorite Pro 300см 2-17г S-0303,"Спиннинг Favorite серии Pro длиной 300 см, тест 2-17 г. Подходит для активной ловли хищника.",7070,Спиннинги,2.0,17.0
304,Катушка Lucky John Master 4000 R-0304,Катушка Lucky John Master размера 4000 с плавным ходом и надёжным фрикционом.,15620,Катушки,,
305,Фидер Abu Garcia Feeder 300 40г F-0305,Фидерное удилище Abu Garcia длиной 300 см с тестом до 40 г для дальнего заброса.,7080,Фидеры,0.0,40.0
306,Карповое удилище Browning Carp 330 180г C-0306,"Карповое удилище Browning длиной 330 см, тест до 180 г.",11020,Карповые удилища,0.0,180.0
307,Зимняя удочка Blue Fox Ice 50см 2-10г I-0307,Зимняя удочка Blue Fox длиной 50 см для блеснения и ловли на мормышку.,1260,Зимние удочки,2.0,10.0
308,Воблер Shimano 5.0см золото L-0308,"Воблер Shimano длиной 5.0 см, цвет золото. Уловистая приманка для хищной рыбы.",2010,Воблеры,,
309,Силикон Mustad 7.0см синий L-0309,"Силикон Mustad длиной 7.0 см, цвет синий. Уловистая приманка для хищной рыбы.",1160,Приманки,,
310,Блесна Mustad 4.5см чёрный L-0310,"Блесна Mustad длиной 4.5 см, цвет чёрный. Уловистая приманка для хищной рыбы.",1840,Блесны,,
311,Балансир Lucky John 8.0см натуральный L-0311,"Балансир Lucky John длиной 8.0 см, цвет натуральный. Уловистая приманка для хищной рыбы.",1690,Балансиры,,
312,Мормышка Preston 3.5см золото L-0312,"Мормышка Preston длиной 3.5 см, цвет золото. Уловистая приманка для хищной рыбы.",2160,Мормышки,,
313,Леска/шнур Favorite 0.34мм 200м N-0313,"Рыболовная леска или шнур Favorite, диаметр 0.34 мм, длина 200 м.",640,Лески и шнуры,,
314,Крючки Kamasan №12 (20 шт) H-0314,"Крючки Kamasan номер 12, упаковка 20 шт. Острые и прочные.",470,Крючки,,
315,Поплавок Mann's 2.0г P-0315,Поплавок Mann's грузоподъёмностью 2.0 г для поплавочной ловли.,160,Поплавки,,
316,Кормушка пластиковая 5г B-0316,Кормушка пластиковая весом 5 г для фидерной ловли.,290,Кормушки,,
317,Прикормка Norfin карп 1кг M-0317,"Прикормка Norfin для ловли карп, фасовка 1 кг.",670,Прикормка,,
318,Демисезонный перчатки Maver L CL-0318,"Демисезонный перчатки Maver, размер L. Комфорт и защита на рыбалке.",6120,Одежда,,
319,Стойка Mann's A-0319,Рыболовный аксессуар: стойка Mann's для удобства и эффективной ловли.,13980,Аксессуары,,
320,Зажим Maver T-0320,Рыболовный инструмент: зажим Maver для монтажа и обслуживания снастей.,11420,Инструменты,,
321,Всесезонная тент Salmo TP-0321,Всесезонная тент Salmo для комфортного отдыха на рыбалке.,4600,Палатки,,
322,Камера Lucky E-0322,Электроника для рыбалки: камера Lucky с современными функциями.,12610,Электроника,,
323,Спиннинг Megabass Hunter 300см 10-40г S-0324,"Спиннинг Megabass серии Hunter длиной 300 см, тест 10-40 г. Подходит для активной ловли хищника.",9700,Спиннинги,10.0,40.0
324,Катушка Gamakatsu Expert 2000 R-0325,Катушка Gamakatsu Expert размера 2000 с плавным ходом и надёжным фрикционом.,2850,Катушки,,
325,Фидер Gamakatsu Feeder 390 80г F-0326,Фидерное удилище Gamakatsu длиной 390 см с тестом до 80 г для дальнего заброса.,4580,Фидеры,0.0,80.0
326,Карповое удилище Mikado Carp 390 120г C-0327,"Карповое удилище Mikado длиной 390 см, тест до 120 г.",20860,Карповые удилища,0.0,120.0
327,Зимняя удочка Mepps Ice 70см 2-5г I-0328,Зимняя удочка Mepps длиной 70 см для блеснения и ловли на мормышку.,1230,Зимние удочки,2.0,5.0
328,Воблер Kosadaka 6.5см золото L-0329,"Воблер Kosadaka длиной 6.5 см, цвет золото. Уловистая приманка для хищной рыбы.",2580,Воблеры,,
329,Силикон Preston 12.0см красный L-0330,"Силикон Preston длиной 12.0 см, цвет красный. Уловистая приманка для хищной рыбы.",2670,Приманки,,
330,Блесна Mepps 8.0см синий L-0331,"Блесна Mepps длиной 8.0 см, цвет синий. Уловистая приманка для хищной рыбы.",850,Блесны,,
331,Балансир Tsurinoya 10.0см чёрный L-0332,"Балансир Tsurinoya длиной 10.0 см, цвет чёрный. Уловистая приманка для хищной рыбы.",470,Балансиры,,
332,Мормышка Favorite 5.0см золото L-0333,"Мормышка Favorite длиной 5.0 см, цвет золото. Уловистая приманка для хищной рыбы.",940,Мормышки,,
333,Леска/шнур Pontoon21 0.24мм 200м N-0334,"Рыболовная леска или шнур Pontoon21, диаметр 0.24 мм, длина 200 м.",1880,Лески и шнуры,,
334,Крючки Kamasan №1/0 (20 шт) H-0335,"Крючки Kamasan номер 1/0, упаковка 20 шт. Острые и прочные.",280,Крючки,,
335,Поплавок Shimano 1.0г P-0336,Поплавок Shimano грузоподъёмностью 1.0 г для поплавочной ловли.,390,Поплавки,,
336,Кормушка методная 15г B-0337,Кормушка методная весом 15 г для фидерной ловли.,200,Кормушки,,
337,Прикормка Trabucco карась 1.5кг M-0338,"Прикормка Trabucco для ловли карась, фасовка 1.5 кг.",740,Прикормка,,
338,Демисезонный сапоги Shimano L CL-0339,"Демисезонный сапоги Shimano, размер L. Комфорт и защита на рыбалке.",17190,Одежда,,
339,Зажим Stinger A-0340,Рыболовный аксессуар: зажим Stinger для удобства и эффективной ловли.,7220,Аксессуары,,
340,Зажим Owner T-0341,Рыболовный инструмент: зажим Owner для монтажа и обслуживания снастей.,8540,Инструменты,,
341,Летняя спальник Volzhanka TP-0342,Летняя спальник Volzhanka для комфортного отдыха на рыбалке.,14290,Палатки,,
342,Эхолот Lowrance E-0343,Электроника для рыбалки: эхолот Lowrance с современными функциями.,41150,Электроника,,
343,Спиннинг Gamakatsu Trophy 180см 1-21г S-0345,"Спиннинг Gamakatsu серии Trophy длиной 180 см, тест 1-21 г. Подходит для активной ловли хищника.",31290,Спиннинги,1.0,21.0
344,Катушка Owner Light 1000 R-0346,Катушка Owner Light размера 1000 с плавным ходом и надёжным фрикционом.,9690,Катушки,,
345,Фидер Norfin Feeder 300 150г F-0347,Фидерное удилище Norfin длиной 300 см с тестом до 150 г для дальнего заброса.,16870,Фидеры,0.0,150.0
346,Карповое удилище Salmo Carp 360 120г C-0348,"Карповое удилище Salmo длиной 360 см, тест до 120 г.",20070,Карповые удилища,0.0,120.0
347,Зимняя удочка Maximus Ice 55см 4-10г I-0349,Зимняя удочка Maximus длиной 55 см для блеснения и ловли на мормышку.,1560,Зимние удочки,4.0,10.0
348,Воблер Mikado 11.0см натуральный L-0350,"Воблер Mikado длиной 11.0 см, цвет натуральный. Уловистая приманка для хищной рыбы.",1100,Воблеры,,
349,Силикон Owner 9.0см золото L-0351,"Силикон Owner длиной 9.0 см, цвет золото. Уловистая приманка для хищной рыбы.",1810,Приманки,,
350,Блесна Jackall 11.0см красный L-0352,"Блесна Jackall длиной 11.0 см, цвет красный. Уловистая приманка для хищной рыбы.",780,Блесны,,
351,Балансир Fox 6.5см чёрный L-0353,"Балансир Fox длиной 6.5 см, цвет чёрный. Уловистая приманка для хищной рыбы.",1660,Балансиры,,
352,Мормышка Daiwa 12.0см серебро L-0354,"Мормышка Daiwa длиной 12.0 см, цвет серебро. Уловистая приманка для хищной рыбы.",1220,Мормышки,,
353,Леска/шнур Browning 0.08мм 100м N-0355,"Рыболовная леска или шнур Browning, диаметр 0.08 мм, длина 100 м.",1260,Лески и шнуры,,
354,Крючки Owner №4 (15 шт) H-0356,"Крючки Owner номер 4, упаковка 15 шт. Острые и прочные.",190,Крючки,,
355,Поплавок Tsurinoya 2.0г P-0357,Поплавок Tsurinoya грузоподъёмностью 2.0 г для поплавочной ловли.,260,Поплавки,,
356,Кормушка пластиковая 25г B-0358,Кормушка пластиковая весом 25 г для фидерной ловли.,420,Кормушки,,
357,Прикормка Kosadaka фидер 2.5кг M-0359,"Прикормка Kosadaka для ловли фидер, фасовка 2.5 кг.",530,Прикормка,,
358,Летний жилет Okuma M CL-0360,"Летний жилет Okuma, размер M. Комфорт и защита на рыбалке.",3880,Одежда,,
359,Грузила Lucky John A-0361,Рыболовный аксессуар: грузила Lucky John для удобства и эффективной ловли.,28500,Аксессуары,,
360,Экстрактор Keitech T-0362,Рыболовный инструмент: экстрактор Keitech для монтажа и обслуживания снастей.,6960,Инструменты,,
361,Всесезонная палатка Megabass TP-0363,Всесезонная палатка Megabass для комфортного отдыха на рыбалке.,12510,Палатки,,
362,Эхолот Norfin E-0364,Электроника для рыбалки: эхолот Norfin с современными функциями.,5870,Электроника,,
363,Спиннинг Mepps Force 210см 2-17г S-0366,"Спиннинг Mepps серии Force длиной 210 см, тест 2-17 г. Подходит для активной ловли хищника.",8730,Спиннинги,2.0,17.0
364,Катушка Jackall Classic 3000 R-0367,Катушка Jackall Classic размера 3000 с плавным ходом и надёжным фрикционом.,7810,Катушки,,
365,Фидер Maver Feeder 390 60г F-0368,Фидерное удилище Maver длиной 390 см с тестом до 60 г для дальнего заброса.,17830,Фидеры,0.0,60.0
366,Карповое удилище Salmo Carp 396 180г C-0369,"Карповое удилище Salmo длиной 396 см, тест до 180 г.",7710,Карповые удилища,0.0,180.0
367,Зимняя удочка Rapala Ice 70см 4-5г I-0370,Зимняя удочка Rapala длиной 70 см для блеснения и ловли на мормышку.,880,Зимние удочки,4.0,5.0
368,Воблер Fox 5.0см красный L-0371,"Воблер Fox длиной 5.0 см, цвет красный. Уловистая приманка для хищной рыбы.",2270,Воблеры,,
369,Силикон Okuma 6.5см натуральный L-0372,"Силикон Okuma длиной 6.5 см, цвет натуральный. Уловистая приманка для хищной рыбы.",1920,Приманки,,
370,Блесна Rapala 5.0см красный L-0373,"Блесна Rapala длиной 5.0 см, цвет красный. Уловистая приманка для хищной рыбы.",290,Блесны,,
371,Балансир Berkley 7.0см натуральный L-0374,"Балансир Berkley длиной 7.0 см, цвет натуральный. Уловистая приманка для хищной рыбы.",2140,Балансиры,,
372,Мормышка Trabucco 9.0см золото L-0375,"Мормышка Trabucco длиной 9.0 см, цвет золото. Уловистая приманка для хищной рыбы.",2560,Мормышки,,
373,Леска/шнур Ryobi 0.12мм 150м N-0376,"Рыболовная леска или шнур Ryobi, диаметр 0.12 мм, длина 150 м.",1210,Лески и шнуры,,
374,Крючки Owner №4 (20 шт) H-0377,"Крючки Owner номер 4, упаковка 20 шт. Острые и прочные.",310,Крючки,,
375,Поплавок Rapala 0.5г P-0378,Поплавок Rapala грузоподъёмностью 0.5 г для поплавочной ловли.,420,Поплавки,,
376,Кормушка пластиковая 25г B-0379,Кормушка пластиковая весом 25 г для фидерной ловли.,170,Кормушки,,
377,Прикормка Tsurinoya лещ 1.5кг M-0380,"Прикормка Tsurinoya для ловли лещ, фасовка 1.5 кг.",350,Прикормка,,
378,Зимний сапоги Salmo XL CL-0381,"Зимний сапоги Salmo, размер XL. Комфорт и защита на рыбалке.",4720,Одежда,,
379,Поводки Fox A-0382,Рыболовный аксессуар: поводки Fox для удобства и эффективной ловли.,2850,Аксессуары,,
380,Экстрактор Norfin T-0383,Рыболовный инструмент: экстрактор Norfin для монтажа и обслуживания снастей.,10990,Инструменты,,
381,Летняя кресло Graphiteleader TP-0384,Летняя кресло Graphiteleader для комфортного отдыха на рыбалке.,5150,Палатки,,
382,Gps-навигатор Norfin E-0385,Электроника для рыбалки: GPS-навигатор Norfin с современными функциями.,17540,Электроника,,
383,Спиннинг Preston Hunter 240см 10-30г S-0387,"Спиннинг Preston серии Hunter длиной 240 см, тест 10-30 г. Подходит для активной ловли хищника.",17480,Спиннинги,10.0,30.0
384,Катушка Gamakatsu Master 1000 R-0388,Катушка Gamakatsu Master размера 1000 с плавным ходом и надёжным фрикционом.,16820,Катушки,,
385,Фидер Lucky John Feeder 300 180г F-0389,Фидерное удилище Lucky John длиной 300 см с тестом до 180 г для дальнего заброса.,6990,Фидеры,0.0,180.0
386,Карповое удилище Tsurinoya Carp 390 120г C-0390,"Карповое удилище Tsurinoya длиной 390 см, тест до 120 г.",15940,Карповые удилища,0.0,120.0
387,Зимняя удочка Salmo Ice 50см 2-8г I-0391,Зимняя удочка Salmo длиной 50 см для блеснения и ловли на мормышку.,1010,Зимние удочки,2.0,8.0
388,Воблер Jackall 11.0см золото L-0392,"Воблер Jackall длиной 11.0 см, цвет золото. Уловистая приманка для хищной рыбы.",1520,Воблеры,,
389,Силикон Graphiteleader 3.5см золото L-0393,"Силикон Graphiteleader длиной 3.5 см, цвет золото. Уловистая приманка для хищной рыбы.",2550,Приманки,,
390,Блесна Owner 4.5см синий L-0394,"Блесна Owner длиной 4.5 см, цвет синий. Уловистая приманка для хищной рыбы.",1360,Блесны,,
391,Балансир Favorite 4.5см золото L-0395,"Балансир Favorite длиной 4.5 см, цвет золото. Уловистая приманка для хищной рыбы.",2550,Балансиры,,
392,Мормышка Zemex 7.0см зелёный L-0396,"Мормышка Zemex длиной 7.0 см, цвет зелёный. Уловистая приманка для хищной рыбы.",2760,Мормышки,,
393,Леска/шнур Mikado 0.27мм 135м N-0397,"Рыболовная леска или шнур Mikado, диаметр 0.27 мм, длина 135 м.",3140,Лески и шнуры,,
394,Крючки Mustad №1/0 (15 шт) H-0398,"Крючки Mustad номер 1/0, упаковка 15 шт. Острые и прочные.",610,Крючки,,
395,Поплавок Rapala 1.0г P-0399,Поплавок Rapala грузоподъёмностью 1.0 г для поплавочной ловли.,340,Поплавки,,
396,Кормушка металлическая 15г B-0400,Кормушка металлическая весом 15 г для фидерной ловли.,140,Кормушки,,
397,Прикормка Mustad карп 2кг M-0401,"Прикормка Mustad для ловли карп, фасовка 2 кг.",440,Прикормка,,
398,Демисезонный шапка Jackall XL CL-0402,"Демисезонный шапка Jackall, размер XL. Комфорт и защита на рыбалке.",19170,Одежда,,
399,Садок Shimano A-0403,Рыболовный аксессуар: садок Shimano для удобства и эффективной ловли.,5180,Аксессуары,,
400,Мультитул Zemex T-0404,Рыболовный инструмент: мультитул Zemex для монтажа и обслуживания снастей.,810,Инструменты,,
401,Всесезонная тент Mann's TP-0405,Всесезонная тент Mann's для комфортного отдыха на рыбалке.,4230,Палатки,,
402,Камера Deeper E-0406,Электроника для рыбалки: камера Deeper с современными функциями.,4640,Электроника,,
403,Спиннинг Owner Strike 180см 3-18г S-0408,"Спиннинг Owner серии Strike длиной 180 см, тест 3-18 г. Подходит для активной ловли хищника.",24850,Спиннинги,3.0,18.0
404,Катушка Fox Sport 2500 R-0409,Катушка Fox Sport размера 2500 с плавным ходом и надёжным фрикционом.,27360,Катушки,,
405,Фидер Blue Fox Feeder 420 50г F-0410,Фидерное удилище Blue Fox длиной 420 см с тестом до 50 г для дальнего заброса.,7380,Фидеры,0.0,50.0
406,Карповое удилище Maximus Carp 360 150г C-0411,"Карповое удилище Maximus длиной 360 см, тест до 150 г.",5310,Карповые удилища,0.0,150.0
407,Зимняя удочка Stinger Ice 70см 2-8г I-0412,Зимняя удочка Stinger длиной 70 см для блеснения и ловли на мормышку.,2330,Зимние удочки,2.0,8.0
408,Воблер Fox 7.0см синий L-0413,"Воблер Fox длиной 7.0 см, цвет синий. Уловистая приманка для хищной рыбы.",720,Воблеры,,
409,Силикон Berkley 3.5см натуральный L-0414,"Силикон Berkley длиной 3.5 см, цвет натуральный. Уловистая приманка для хищной рыбы.",2210,Приманки,,
410,Блесна Browning 6.5см натуральный L-0415,"Блесна Browning длиной 6.5 см, цвет натуральный. Уловистая приманка для хищной рыбы.",2160,Блесны,,
411,Балансир Keitech 7.0см натуральный L-0416,"Балансир Keitech длиной 7.0 см, цвет натуральный. Уловистая приманка для хищной рыбы.",1210,Балансиры,,
412,Мормышка Browning 3.5см золото L-0417,"Мормышка Browning длиной 3.5 см, цвет золото. Уловистая приманка для хищной рыбы.",1070,Мормышки,,
413,Леска/шнур Mepps 0.17мм 100м N-0418,"Рыболовная леска или шнур Mepps, диаметр 0.17 мм, длина 100 м.",1460,Лески и шнуры,,
414,Крючки Mustad №1 (20 шт) H-0419,"Крючки Mustad номер 1, упаковка 20 шт. Острые и прочные.",580,Крючки,,
415,Поплавок Mustad 0.5г P-0420,Поплавок Mustad грузоподъёмностью 0.5 г для поплавочной ловли.,180,Поплавки,,
416,Кормушка пластиковая 15г B-0421,Кормушка пластиковая весом 15 г для фидерной ловли.,280,Кормушки,,
417,Прикормка Abu Garcia лещ 2.5кг M-0422,"Прикормка Abu Garcia для ловли лещ, фасовка 2.5 кг.",630,Прикормка,,
418,Демисезонный перчатки Gamakatsu 2XL CL-0423,"Демисезонный перчатки Gamakatsu, размер 2XL. Комфорт и защита на рыбалке.",4580,Одежда,,
419,Поводки Berkley A-0424,Рыболовный аксессуар: поводки Berkley для удобства и эффективной ловли.,12710,Аксессуары,,
420,Ножницы Preston T-0425,Рыболовный инструмент: ножницы Preston для монтажа и обслуживания снастей.,11830,Инструменты,,
421,Всесезонная палатка Pontoon21 TP-0426,Всесезонная палатка Pontoon21 для комфортного отдыха на рыбалке.,15010,Палатки,,
422,Камера Lucky E-0427,Электроника для рыбалки: камера Lucky с современными функциями.,25770,Электроника,,
423,Спиннинг Pontoon21 Master 330см 7-27г S-0429,"Спиннинг Pontoon21 серии Master длиной 330 см, тест 7-27 г. Подходит для активной ловли хищника.",24240,Спиннинги,7.0,27.0
424,Катушка Favorite Prime 4000 R-0430,Катушка Favorite Prime размера 4000 с плавным ходом и надёжным фрикционом.,11930,Катушки,,
425,Фидер Blue Fox Feeder 360 120г F-0431,Фидерное удилище Blue Fox длиной 360 см с тестом до 120 г для дальнего заброса.,14920,Фидеры,0.0,120.0
426,Карповое удилище Trabucco Carp 360 120г C-0432,"Карповое удилище Trabucco длиной 360 см, тест до 120 г.",18280,Карповые удилища,0.0,120.0
427,Зимняя удочка Berkley Ice 70см 4-5г I-0433,Зимняя удочка Berkley длиной 70 см для блеснения и ловли на мормышку.,1950,Зимние удочки,4.0,5.0
428,Воблер Owner 9.0см серебро L-0434,"Воблер Owner длиной 9.0 см, цвет серебро. Уловистая приманка для хищной рыбы.",280,Воблеры,,
429,Силикон Owner 7.0см синий L-0435,"Силикон Owner длиной 7.0 см, цвет синий. Уловистая приманка для хищной рыбы.",2040,Приманки,,
430,Блесна Gamakatsu 10.0см красный L-0436,"Блесна Gamakatsu длиной 10.0 см, цвет красный. Уловистая приманка для хищной рыбы.",2090,Блесны,,
431,Балансир Mikado 11.0см красный L-0437,"Балансир Mikado длиной 11.0 см, цвет красный. Уловистая приманка для хищной рыбы.",980,Балансиры,,
432,Мормышка Norfin 7.0см серебро L-0438,"Мормышка Norfin длиной 7.0 см, цвет серебро. Уловистая приманка для хищной рыбы.",1650,Мормышки,,
433,Леска/шнур Norfin 0.3мм 135м N-0439,"Рыболовная леска или шнур Norfin, диаметр 0.3 мм, длина 135 м.",3080,Лески и шнуры,,
434,Крючки Mustad №10 (10 шт) H-0440,"Крючки Mustad номер 10, упаковка 10 шт. Острые и прочные.",220,Крючки,,
435,Поплавок Daiwa 0.5г P-0441,Поплавок Daiwa грузоподъёмностью 0.5 г для поплавочной ловли.,240,Поплавки,,
436,Кормушка металлическая 25г B-0442,Кормушка металлическая весом 25 г для фидерной ловли.,370,Кормушки,,
437,Прикормка Blue Fox фидер 1.5кг M-0443,"Прикормка Blue Fox для ловли фидер, фасовка 1.5 кг.",670,Прикормка,,
438,Зимний перчатки Ryobi M CL-0444,"Зимний перчатки Ryobi, размер M. Комфорт и защита на рыбалке.",22290,Одежда,,
439,Органайзер Shimano A-0445,Рыболовный аксессуар: органайзер Shimano для удобства и эффективной ловли.,7240,Аксессуары,,
440,Плоскогубцы Pontoon21 T-0446,Рыболовный инструмент: плоскогубцы Pontoon21 для монтажа и обслуживания снастей.,3100,Инструменты,,
441,Зимняя стол Graphiteleader TP-0447,Зимняя стол Graphiteleader для комфортного отдыха на рыбалке.,10930,Палатки,,
442,Эхолот Lowrance E-0448,Электроника для рыбалки: эхолот Lowrance с современными функциями.,31810,Электроника,,
443,Спиннинг Kosadaka Lake 420см 7-37г S-0450,"Спиннинг Kosadaka серии Lake длиной 420 см, тест 7-37 г. Подходит для активной ловли хищника.",12900,Спиннинги,7.0,37.0
444,Катушка Jackall River 6000 R-0451,Катушка Jackall River размера 6000 с плавным ходом и надёжным фрикционом.,19750,Катушки,,
445,Фидер Jackall Feeder 330 150г F-0452,Фидерное удилище Jackall длиной 330 см с тестом до 150 г для дальнего заброса.,10870,Фидеры,0.0,150.0
446,Карповое удилище Preston Carp 360 130г C-0453,"Карповое удилище Preston длиной 360 см, тест до 130 г.",21580,Карповые удилища,0.0,130.0
447,Зимняя удочка Ryobi Ice 70см 1-8г I-0454,Зимняя удочка Ryobi длиной 70 см для блеснения и ловли на мормышку.,1590,Зимние удочки,1.0,8.0
448,Воблер Salmo 7.0см синий L-0455,"Воблер Salmo длиной 7.0 см, цвет синий. Уловистая приманка для хищной рыбы.",1390,Воблеры,,
449,Силикон Mustad 8.0см серебро L-0456,"Силикон Mustad длиной 8.0 см, цвет серебро. Уловистая приманка для хищной рыбы.",610,Приманки,,
450,Блесна Kosadaka 5.0см синий L-0457,"Блесна Kosadaka длиной 5.0 см, цвет синий. Уловистая приманка для хищной рыбы.",1850,Блесны,,
451,Балансир Zemex 6.5см чёрный L-0458,"Балансир Zemex длиной 6.5 см, цвет чёрный. Уловистая приманка для хищной рыбы.",1980,Балансиры,,
452,Мормышка Blue Fox 8.0см серебро L-0459,"Мормышка Blue Fox длиной 8.0 см, цвет серебро. Уловистая приманка для хищной рыбы.",2190,Мормышки,,
453,Леска/шнур Blue Fox 0.1мм 200м N-0460,"Рыболовная леска или шнур Blue Fox, диаметр 0.1 мм, длина 200 м.",1920,Лески и шнуры,,
454,Крючки Kamasan №4 (20 шт) H-0461,"Крючки Kamasan номер 4, упаковка 20 шт. Острые и прочные.",340,Крючки,,
455,Поплавок Okuma 0.5г P-0462,Поплавок Okuma грузоподъёмностью 0.5 г для поплавочной ловли.,300,Поплавки,,
456,Кормушка пуля 15г B-0463,Кормушка пуля весом 15 г для фидерной ловли.,350,Кормушки,,
457,Прикормка Browning карась 1.5кг M-0464,"Прикормка Browning для ловли карась, фасовка 1.5 кг.",560,Прикормка,,
458,Зимний перчатки Pontoon21 XL CL-0465,"Зимний перчатки Pontoon21, размер XL. Комфорт и защита на рыбалке.",11800,Одежда,,
459,Карман Mepps A-0466,Рыболовный аксессуар: карман Mepps для удобства и эффективной ловли.,11070,Аксессуары,,
460,Плоскогубцы Megabass T-0467,Рыболовный инструмент: плоскогубцы Megabass для монтажа и обслуживания снастей.,10420,Инструменты,,
461,Всесезонная стол Daiwa TP-0468,Всесезонная стол Daiwa для комфортного отдыха на рыбалке.,11050,Палатки,,
462,Эхолот Norfin E-0469,Электроника для рыбалки: эхолот Norfin с современными функциями.,7400,Электроника,,
463,Спиннинг Pontoon21 Classic 390см 2-12г S-0471,"Спиннинг Pontoon21 серии Classic длиной 390 см, тест 2-12 г. Подходит для активной ловли хищника.",11020,Спиннинги,2.0,12.0
464,Катушка Berkley Force 2000 R-0472,Катушка Berkley Force размера 2000 с плавным ходом и надёжным фрикционом.,16700,Катушки,,
465,Фидер Gamakatsu Feeder 360 120г F-0473,Фидерное удилище Gamakatsu длиной 360 см с тестом до 120 г для дальнего заброса.,8060,Фидеры,0.0,120.0
466,Карповое удилище Blue Fox Carp 390 100г C-0474,"Карповое удилище Blue Fox длиной 390 см, тест до 100 г.",19910,Карповые удилища,0.0,100.0
467,Зимняя удочка Daiwa Ice 70см 4-5г I-0475,Зимняя удочка Daiwa длиной 70 см для блеснения и ловли на мормышку.,1410,Зимние удочки,4.0,5.0
468,Воблер Browning 4.5см натуральный L-0476,"Воблер Browning длиной 4.5 см, цвет натуральный. Уловистая приманка для хищной рыбы.",440,Воблеры,,
469,Силикон Daiwa 6.5см синий L-0477,"Силикон Daiwa длиной 6.5 см, цвет синий. Уловистая приманка для хищной рыбы.",360,Приманки,,
470,Блесна Zemex 6.5см синий L-0478,"Блесна Zemex длиной 6.5 см, цвет синий. Уловистая приманка для хищной рыбы.",2220,Блесны,,
471,Балансир Favorite 12.0см синий L-0479,"Балансир Favorite длиной 12.0 см, цвет синий. Уловистая приманка для хищной рыбы.",2180,Балансиры,,
472,Мормышка Preston 8.0см синий L-0480,"Мормышка Preston длиной 8.0 см, цвет синий. Уловистая приманка для хищной рыбы.",2760,Мормышки,,
473,Леска/шнур Favorite 0.29мм 135м N-0481,"Рыболовная леска или шнур Favorite, диаметр 0.29 мм, длина 135 м.",1590,Лески и шнуры,,
474,Крючки Owner №4 (15 шт) H-0482,"Крючки Owner номер 4, упаковка 15 шт. Острые и прочные.",440,Крючки,,
475,Поплавок Berkley 5.0г P-0483,Поплавок Berkley грузоподъёмностью 5.0 г для поплавочной ловли.,220,Поплавки,,
476,Кормушка пластиковая 7г B-0484,Кормушка пластиковая весом 7 г для фидерной ловли.,190,Кормушки,,
477,Прикормка Owner фидер 1кг M-0485,"Прикормка Owner для ловли фидер, фасовка 1 кг.",860,Прикормка,,
478,Демисезонный брюки Abu Garcia XL CL-0486,"Демисезонный брюки Abu Garcia, размер XL. Комфорт и защита на рыбалке.",22470,Одежда,,
479,Садок Mann's A-0487,Рыболовный аксессуар: садок Mann's для удобства и эффективной ловли.,33410,Аксессуары,,
480,Ножницы Mustad T-0488,Рыболовный инструмент: ножницы Mustad для монтажа и обслуживания снастей.,7100,Инструменты,,
481,Летняя палатка Ryobi TP-0489,Летняя палатка Ryobi для комфортного отдыха на рыбалке.,7730,Палатки,,
482,Зарядное устройство Norfin E-0490,Электроника для рыбалки: зарядное устройство Norfin с современными функциями.,48250,Электроника,,
483,Спиннинг Zemex River 240см 10-40г S-0492,"Спиннинг Zemex серии River длиной 240 см, тест 10-40 г. Подходит для активной ловли хищника.",23810,Спиннинги,10.0,40.0
484,Катушка Maver Trophy 3000 R-0493,Катушка Maver Trophy размера 3000 с плавным ходом и надёжным фрикционом.,16070,Катушки,,
